03-Jun;;;;;;
;;;;;;
Saldo em conta:;;;;;;
;;;;;;
R$ 9.263,06;;;;;;
;;;;;;
04-Jun;;05-Jun;;08-Jun;;
;;;;;;
D1 R$ -332,40;;D2 R$ -6.107,00;;D3 R$ 0,00;;DN R$ 0,00
;;;;;;
Saldo final:;;;;;;
;;;;;;
R$ 2.823,66;;;;;;
;;;;;;
Período:;;;;;;
Visualização:;;;;;;
Versão Clear;;;;;;
Versão CBLC;;;;;;
Notas;;;;;;
;;;;;;
2020;;;;;;
;;;;;;
Abril;;;;;;
;;;;;;
Dt Liq;Dt Mov;Descrição;Valor (R$);Saldo (R$);;
Seg 18;Sex 15;AJUSTE DAY-TRADE 15/05/2020 436717 WIN ;33;7.027,51;;
Seg 18;Sex 15;BMF - TAXA DE REGISTRO 15/05/2020;-4,8;7.022,71;;
Seg 18;Sex 15;BMF - TAXA EMOLUMENTOS 15/05/2020;-2,4;7.020,31;;
Ter 19;Seg 18;AJUSTE DAY-TRADE 18/05/2020 460533 WIN ;-515;6.505,31;;
Ter 19;Seg 18;ISS/PIS/COFINS BM&F ;-1,06;6.504,25;;
Ter 19;Seg 18;CUSTOS OPERACIONAIS 460533 PREGÃO 18/05/2020;-10;6.494,25;;
Ter 19;Seg 18;BMF - TAXA DE REGISTRO 18/05/2020;-9,28;6.484,97;;
Ter 19;Seg 18;BMF - TAXA EMOLUMENTOS 18/05/2020;-4,64;6.480,33;;
Qua 20;Ter 19;BMF - TAXA DE REGISTRO 19/05/2020;-0,45;6.479,88;;
Qua 20;Ter 19;BMF - TAXA EMOLUMENTOS 19/05/2020;-0,27;6.479,61;;
Qua 20;Ter 19;BMF - TAXA DE REGISTRO 19/05/2020;-31,36;6.448,25;;
Qua 20;Ter 19;BMF - TAXA EMOLUMENTOS 19/05/2020;-15,68;6.432,57;;
Qua 20;Ter 19;BMF - AJUSTE DE POSIÇÃO 19/05/2020 483930;-4,5;6.428,07;;
Qua 20;Ter 19;IRRF S/ DAY TRADE 19/05/2020;-1,77;6.426,30;;
Qua 20;Ter 19;AJUSTE DAY-TRADE 19/05/2020 483931 WIN ;225;6.651,30;;
Qua 20;Qua 20;PREVIA CHAMADA DE MARGEM;-1.405,41;5.245,89;;
Qua 20;Qua 20;ESTORNO PREVIA CHAMADA DE MARGEM;1.405,41;6.651,30;;
Qua 20;Qua 20;CHAMADA DE MARGEM;-1.405,42;5.245,88;;
Qui 21;Qua 20;BMF - AJUSTE DE POSIÇÃO 20/05/2020 508360;-4,5;5.241,38;;
Qui 21;Qua 20;IRRF S/ DAY TRADE 20/05/2020;-0,74;5.240,64;;
Qui 21;Qua 20;AJUSTE DAY-TRADE 20/05/2020 508361 WIN ;90;5.330,64;;
Qui 21;Qua 20;BMF - TAXA DE REGISTRO 20/05/2020;-10,24;5.320,40;;
Qui 21;Qua 20;BMF - TAXA EMOLUMENTOS 20/05/2020;-5,12;5.315,28;;
Qui 21;Qui 21;DEVOLUÇÃO DE MARGEM;2,73;5.318,01;;
Sex 22;Qui 21;BMF - AJUSTE DE POSIÇÃO 21/05/2020 532039;-130,5;5.187,51;;
Sex 22;Qui 21;AJUSTE DAY-TRADE 21/05/2020 532040 WIN ;-416;4.771,51;;
Sex 22;Qui 21;ISS/PIS/COFINS BM&F ;-2,13;4.769,38;;
Sex 22;Qui 21;CUSTOS OPERACIONAIS 532040 PREGÃO 21/05/2020;-20;4.749,38;;
Sex 22;Qui 21;BMF - TAXA DE REGISTRO 21/05/2020;-22,08;4.727,30;;
Sex 22;Qui 21;BMF - TAXA EMOLUMENTOS 21/05/2020;-11,04;4.716,26;;
Sex 22;Sex 22;DEVOLUÇÃO DE MARGEM TARDE;26,19;4.742,45;;
Seg 25;Seg 25;PREVIA CHAMADA DE MARGEM;-13,88;4.728,57;;
